Fold Number,Number of examples in fold,Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss
0,98,Logistic Regression,0.887755102040816,0.777777777777778,0.4375,0.56,0.814024390243902,0.356017502686999,20.0041655935073
1,98,Logistic Regression,0.897959183673469,0.833333333333333,0.357142857142857,0.5,0.827380952380952,0.311574610176257,24.0277462070783
2,98,Logistic Regression,0.877551020408163,0.666666666666667,0.285714285714286,0.4,0.833333333333333,0.310374823303263,24.3202941549387
3,98,Logistic Regression,0.887755102040816,1,0.266666666666667,0.421052631578947,0.918875502008032,0.276076161142914,35.4935933414008
4,98,Logistic Regression,0.877551020408163,0.888888888888889,0.421052631578947,0.571428571428571,0.77948034643571,0.40662942745628,17.3176034205356
5,98,Logistic Regression,0.846938775510204,0.75,0.315789473684211,0.444444444444444,0.838107928047968,0.371198123040997,24.5220627271781
6,98,Logistic Regression,0.908163265306122,0.7,0.538461538461538,0.608695652173913,0.827149321266968,0.30010191425969,23.3258601156704
7,98,Logistic Regression,0.86734693877551,0.571428571428571,0.285714285714286,0.380952380952381,0.853741496598639,0.288852206016157,29.568224151221
8,98,Logistic Regression,0.918367346938776,1,0.333333333333333,0.5,0.801356589147287,0.302414186161895,18.6569225043164
9,98,Logistic Regression,0.86734693877551,1,0.277777777777778,0.434782608695652,0.822916666666667,0.355208074850026,25.5201369001653
10,98,Logistic Regression,0.908163265306122,0.9,0.529411764705882,0.666666666666667,0.838779956427015,0.298537279852286,35.2897905133886
11,98,Logistic Regression,0.918367346938776,1,0.466666666666667,0.636363636363636,0.780722891566265,0.349090016476915,18.4335856087916
12,98,Logistic Regression,0.897959183673469,0.714285714285714,0.384615384615385,0.5,0.831674208144796,0.302342312594352,22.7534525196299
13,98,Logistic Regression,0.887755102040816,0.928571428571429,0.565217391304348,0.702702702702703,0.907246376811594,0.321378855025552,41.0190758649039
14,98,Logistic Regression,0.877551020408163,0.636363636363636,0.466666666666667,0.538461538461539,0.82570281124498,0.328496210186922,23.2454188278975
Mean,1470,Logistic Regression,0.88843537414966,0.824487734487734,0.395448714935523,0.524370055564564,0.833366184688274,0.325219446882034,25.5665288300416
Standard Deviation,1470,Logistic Regression,0.020212865344327,0.14728216893236,0.102152268959348,0.099388680255704,0.0383182608466832,0.0355720675882786,6.91181678297442
0,98,SVM (Pegasos-Linear),0.877551020408163,0.7,0.4375,0.538461538461538,0.839176829268293,0.334425521764592,24.8558049576976
1,98,SVM (Pegasos-Linear),0.887755102040816,0.714285714285714,0.357142857142857,0.476190476190476,0.795918367346939,0.321802031596284,21.533960672596
2,98,SVM (Pegasos-Linear),0.857142857142857,0.5,0.285714285714286,0.363636363636364,0.835884353741497,0.313659731608944,23.5193242448922
3,98,SVM (Pegasos-Linear),0.908163265306122,1,0.4,0.571428571428572,0.909236947791165,0.268392204458573,37.2889835430581
4,98,SVM (Pegasos-Linear),0.877551020408163,0.888888888888889,0.421052631578947,0.571428571428571,0.774150566289141,0.425619895662408,13.4561577960238
5,98,SVM (Pegasos-Linear),0.836734693877551,0.714285714285714,0.263157894736842,0.384615384615385,0.852098600932712,0.350074846536151,28.8171850353616
6,98,SVM (Pegasos-Linear),0.887755102040816,0.6,0.461538461538462,0.521739130434783,0.817194570135747,0.319329664745986,18.4132915501412
7,98,SVM (Pegasos-Linear),0.908163265306122,1,0.357142857142857,0.526315789473684,0.847789115646258,0.292821083771076,28.6004797387375
8,98,SVM (Pegasos-Linear),0.887755102040816,0.571428571428571,0.333333333333333,0.421052631578947,0.822674418604651,0.291353533053578,21.6320063598769
9,98,SVM (Pegasos-Linear),0.836734693877551,0.666666666666667,0.222222222222222,0.333333333333333,0.81875,0.363560958548673,23.7687081506169
10,98,SVM (Pegasos-Linear),0.897959183673469,0.888888888888889,0.470588235294118,0.615384615384615,0.830065359477124,0.308815550925811,33.0618976530494
11,98,SVM (Pegasos-Linear),0.897959183673469,0.777777777777778,0.466666666666667,0.583333333333333,0.810441767068273,0.332571111720496,22.2933002011741
12,98,SVM (Pegasos-Linear),0.908163265306122,0.75,0.461538461538462,0.571428571428571,0.840723981900453,0.302776360812536,22.6425559467784
13,98,SVM (Pegasos-Linear),0.877551020408163,0.923076923076923,0.521739130434783,0.666666666666667,0.907246376811594,0.320884864286675,41.1097353150748
14,98,SVM (Pegasos-Linear),0.846938775510204,0.5,0.4,0.444444444444444,0.806425702811245,0.347898267176825,18.7120430629538
Mean,1470,SVM (Pegasos-Linear),0.879591836734694,0.746353276353276,0.390622469156256,0.505963961455952,0.833851797188339,0.326265708444574,25.3136956152022
Standard Deviation,1470,SVM (Pegasos-Linear),0.0247556031665933,0.16593699626406,0.0861318566312357,0.0982072338144221,0.0364738602534539,0.0370349965652537,7.35696189289996
0,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.86734693877551,0.714285714285714,0.3125,0.434782608695652,0.802591463414634,0.363313882313261,18.364695702437
1,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.877551020408163,0.666666666666667,0.285714285714286,0.4,0.797619047619048,0.326387109424858,20.4159661856394
2,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.877551020408163,0.666666666666667,0.285714285714286,0.4,0.847789115646258,0.307164868284764,25.102987960417
3,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.877551020408163,1,0.2,0.333333333333333,0.877911646586345,0.303769323493693,29.0229644219514
4,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.887755102040816,1,0.421052631578947,0.592592592592593,0.780146568954031,0.404144197900522,17.8229400288711
5,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.836734693877551,0.8,0.210526315789474,0.333333333333333,0.842771485676216,0.370298141207218,24.7050614229694
6,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.887755102040816,0.666666666666667,0.307692307692308,0.421052631578947,0.831674208144796,0.30536007054492,21.9824344612823
7,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.86734693877551,0.6,0.214285714285714,0.315789473684211,0.840136054421769,0.305469653145493,25.5163377989083
8,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.908163265306122,1,0.25,0.4,0.798449612403101,0.301842202517137,18.8107741160159
9,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.86734693877551,1,0.277777777777778,0.434782608695652,0.822222222222222,0.353663678088928,25.8439652911357
10,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.887755102040816,0.875,0.411764705882353,0.56,0.827886710239651,0.323250615849048,29.9329883402905
11,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.887755102040816,0.75,0.4,0.521739130434783,0.781526104417671,0.35225036701024,17.6951558369401
12,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.897959183673469,0.8,0.307692307692308,0.444444444444444,0.841628959276018,0.303528829335874,22.450305001098
13,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.816326530612245,0.857142857142857,0.260869565217391,0.4,0.908405797101449,0.339840775615948,37.6308593699396
14,98,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.86734693877551,0.625,0.333333333333333,0.434782608695652,0.821686746987952,0.332339483456118,22.3474211616864
Mean,1470,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.874149659863946,0.801428571428571,0.298594882045212,0.428442184365907,0.828163049540744,0.332841546545868,23.8429904733055
Standard Deviation,1470,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.0230333000864749,0.147033758511049,0.0700952608680923,0.0790145863571404,0.0347203644334596,0.0307500418484522,5.42424808474467
0,98,FastTree (Boosted Trees) Classification,0.86734693877551,1,0.1875,0.315789473684211,0.75,0.586263156438388,-31.7311930652607
1,98,FastTree (Boosted Trees) Classification,0.887755102040816,0.714285714285714,0.357142857142857,0.476190476190476,0.725340136054422,0.513377953944131,-25.1786215400248
2,98,FastTree (Boosted Trees) Classification,0.897959183673469,0.75,0.428571428571429,0.545454545454545,0.823979591836735,0.370722444958325,9.60553666688804
3,98,FastTree (Boosted Trees) Classification,0.86734693877551,0.75,0.2,0.315789473684211,0.804016064257028,0.536496046089605,-25.354655673699
4,98,FastTree (Boosted Trees) Classification,0.846938775510204,1,0.210526315789474,0.347826086956522,0.712191872085276,0.787200582224037,-60.0662085235609
5,98,FastTree (Boosted Trees) Classification,0.826530612244898,0.666666666666667,0.210526315789474,0.32,0.855429713524317,0.555936657854227,-13.0419298605914
6,98,FastTree (Boosted Trees) Classification,0.846938775510204,0.4,0.307692307692308,0.347826086956522,0.804524886877828,0.454901135535863,-16.2243612662692
7,98,FastTree (Boosted Trees) Classification,0.857142857142857,0.5,0.285714285714286,0.363636363636364,0.84608843537415,0.444311563126119,-8.33793811970749
